ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,0.401025129,0.400987385
16,33554432,536870912,0.332967760,0.332966672
32,16777216,536870912,0.308830316,0.308829098
64,8388608,536870912,0.366125529,0.366123380
128,4194304,536870912,0.326460326,0.326453678
256,2097152,536870912,0.381816610,0.381805263
512,1048576,536870912,0.378898462,0.378880754
1024,524288,536870912,0.440884891,0.440852258
2048,262144,536870912,0.443725882,0.443661678
4096,131072,536870912,0.443508663,0.443380881
8192,65536,536870912,0.462324894,0.462071062
16384,32768,536870912,0.446098278,0.445583644
32768,16384,536870912,0.465712397,0.464592367
65536,8192,536870912,0.466800099,0.464533287
131072,4096,536870912,0.468266858,0.463918385
262144,2048,536870912,0.479335798,0.470723291
524288,1024,536870912,0.531060239,0.514744207
1048576,512,536870912,0.933486074,0.902155198
2097152,256,536870912,1.003398087,0.940137004
4194304,128,536870912,1.043786336,0.917977556
8388608,64,536870912,1.155644159,0.905963059
16777216,32,536870912,1.403128035,0.904633981
33554432,16,536870912,1.940233145,0.943678041
67108864,8,536870912,2.922732143,0.911681423
134217728,4,536870912,5.274422883,1.267408794
268435456,2,536870912,9.172645373,1.228523269
536870912,1,536870912,16.837198964,0.910018495
