ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,0.186790415,0.186789310
16,33554432,536870912,0.096095677,0.096094464
32,16777216,536870912,0.137090273,0.137088724
64,8388608,536870912,0.179047432,0.179042034
128,4194304,536870912,0.129490318,0.129482941
256,2097152,536870912,0.106617743,0.106604666
512,1048576,536870912,0.092447392,0.092424785
1024,524288,536870912,0.086150995,0.086102283
2048,262144,536870912,0.082296867,0.082202346
4096,131072,536870912,0.091275351,0.091096246
8192,65536,536870912,0.096979822,0.096619299
16384,32768,536870912,0.098580412,0.097877624
32768,16384,536870912,0.093299463,0.091885526
65536,8192,536870912,0.108481871,0.105811976
131072,4096,536870912,0.159621770,0.154261795
262144,2048,536870912,0.169053933,0.157765007
524288,1024,536870912,0.187919699,0.166121683
1048576,512,536870912,0.325795399,0.281353255
2097152,256,536870912,0.561024657,0.471843021
4194304,128,536870912,0.811014600,0.637056940
8388608,64,536870912,1.009040745,0.657494671
16777216,32,536870912,1.394232588,0.677152323
33554432,16,536870912,2.115713650,0.679595881
67108864,8,536870912,3.475504563,0.661066297
134217728,4,536870912,6.204970654,0.654042713
268435456,2,536870912,11.874048855,0.693874136
536870912,1,536870912,40.593824309,17.516574145
