ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,0.166410651,0.166409604
16,33554432,536870912,0.193994131,0.193992977
32,16777216,536870912,0.136656904,0.136655569
64,8388608,536870912,0.129336979,0.129332086
128,4194304,536870912,0.144702639,0.144696299
256,2097152,536870912,0.126468000,0.126456805
512,1048576,536870912,0.114803564,0.114783431
1024,524288,536870912,0.110254397,0.110215885
2048,262144,536870912,0.107240517,0.107162010
4096,131072,536870912,0.105962578,0.105805959
8192,65536,536870912,0.105385654,0.105076617
16384,32768,536870912,0.106696615,0.106057274
32768,16384,536870912,0.115816784,0.114473644
65536,8192,536870912,0.129540983,0.126836958
131072,4096,536870912,0.154076026,0.148656418
262144,2048,536870912,0.169251776,0.158824425
524288,1024,536870912,0.187255651,0.165579564
1048576,512,536870912,0.269977636,0.226616538
2097152,256,536870912,0.558894858,0.473951647
4194304,128,536870912,0.806400385,0.632032298
8388608,64,536870912,1.011767822,0.665279257
16777216,32,536870912,1.334068795,0.643578945
33554432,16,536870912,2.025455064,0.656613993
67108864,8,536870912,3.400111578,0.653544578
134217728,4,536870912,6.138439320,0.653884428
268435456,2,536870912,11.881910513,0.843138916
536870912,1,536870912,40.434865229,17.282750910
