ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,0.167875831,0.167874833
16,33554432,536870912,0.144261213,0.144260185
32,16777216,536870912,0.143320889,0.143319561
64,8388608,536870912,0.171379829,0.171374879
128,4194304,536870912,0.147520136,0.147513824
256,2097152,536870912,0.133006716,0.132995303
512,1048576,536870912,0.124933224,0.124913221
1024,524288,536870912,0.121073999,0.121035659
2048,262144,536870912,0.120220066,0.120141765
4096,131072,536870912,0.158856651,0.158697256
8192,65536,536870912,0.159807233,0.159491649
16384,32768,536870912,0.156200623,0.155544057
32768,16384,536870912,0.168813293,0.167476823
65536,8192,536870912,0.185300111,0.182630841
131072,4096,536870912,0.211920305,0.206616597
262144,2048,536870912,0.214262721,0.203738803
524288,1024,536870912,0.255465901,0.234293954
1048576,512,536870912,0.540280896,0.496565391
2097152,256,536870912,0.829674144,0.744237521
4194304,128,536870912,1.017555351,0.841408365
8388608,64,536870912,1.221804545,0.873761306
16777216,32,536870912,1.569421152,0.871444412
33554432,16,536870912,2.262998226,0.878300962
67108864,8,536870912,3.638151768,0.871494620
134217728,4,536870912,6.385720631,0.874892563
268435456,2,536870912,11.929844164,0.875820612
536870912,1,536870912,67.314280706,44.502173080
