ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,0.140992583,0.140991234
16,33554432,536870912,0.118439532,0.118438616
32,16777216,536870912,0.140524065,0.140522773
64,8388608,536870912,0.170686165,0.170681195
128,4194304,536870912,0.137325235,0.137318837
256,2097152,536870912,0.122196304,0.122184364
512,1048576,536870912,0.112580189,0.112560216
1024,524288,536870912,0.109607684,0.109569036
2048,262144,536870912,0.107304807,0.107225029
4096,131072,536870912,0.155935044,0.155777366
8192,65536,536870912,0.160057309,0.159740811
16384,32768,536870912,0.157918656,0.157264295
32768,16384,536870912,0.161279963,0.159958856
65536,8192,536870912,0.186426619,0.183800587
131072,4096,536870912,0.208685583,0.203375466
262144,2048,536870912,0.215234455,0.204628380
524288,1024,536870912,0.243412791,0.222052478
1048576,512,536870912,0.496781830,0.454850319
2097152,256,536870912,0.762216186,0.677185687
4194304,128,536870912,0.961596855,0.790338323
8388608,64,536870912,1.172309685,0.827564832
16777216,32,536870912,1.555903865,0.867147524
33554432,16,536870912,2.231408942,0.851205061
67108864,8,536870912,3.700513709,0.910396165
134217728,4,536870912,6.464327312,0.885158770
268435456,2,536870912,11.963348949,0.853463490
536870912,1,536870912,59.621560149,36.298664022
