Config,Threads,Time,Speedup,Efficiency
ConfigA,1,0.092062,1.000000,1.000000
ConfigA,2,0.055026,1.673069,0.836534
ConfigA,4,0.027149,3.390933,0.847733
ConfigA,8,0.015077,6.106172,0.763271
ConfigA,16,0.013632,6.753444,0.422090
ConfigB,1,0.406774,1.000000,1.000000
ConfigB,2,0.268422,1.515427,0.757714
ConfigB,4,0.123716,3.287971,0.821993
ConfigB,8,0.072751,5.591292,0.698912
ConfigB,16,0.062533,6.504987,0.406562
ConfigC,1,0.395038,1.000000,1.000000
ConfigC,2,0.294310,1.342251,0.671126
ConfigC,4,0.154681,2.553883,0.638471
ConfigC,8,0.087501,4.514679,0.564335
ConfigC,16,0.059319,6.659514,0.416220
ConfigD,1,2.071045,1.000000,1.000000
ConfigD,2,1.465193,1.413496,0.706748
ConfigD,4,0.754519,2.744855,0.686214
ConfigD,8,0.414749,4.993492,0.624187
ConfigD,16,0.279919,7.398732,0.462421
ConfigE,1,1.486244,1.000000,1.000000
ConfigE,2,1.068905,1.390435,0.695218
ConfigE,4,0.562502,2.642204,0.660551
ConfigE,8,0.332814,4.465687,0.558211
ConfigE,16,0.430878,3.449336,0.215583
