Config,Threads,Time,Speedup,Efficiency
Config_A,1,0.028192,1.000000,1.000000
Config_A,2,0.016969,1.661378,0.830689
Config_A,4,0.009781,2.882185,0.720546
Config_A,8,0.008741,3.225323,0.403165
Config_A,16,0.010410,2.708159,0.169260
Config_B,1,0.150715,1.000000,1.000000
Config_B,2,0.082189,1.833765,0.916883
Config_B,4,0.046636,3.231704,0.807926
Config_B,8,0.042129,3.577495,0.447187
Config_B,16,0.045165,3.337023,0.208564
Config_C,1,0.118381,1.000000,1.000000
Config_C,2,0.068130,1.737570,0.868785
Config_C,4,0.038579,3.068512,0.767128
Config_C,8,0.037673,3.142306,0.392788
Config_C,16,0.043439,2.725208,0.170325
Config_D,1,0.655475,1.000000,1.000000
Config_D,2,0.338557,1.936088,0.968044
Config_D,4,0.193086,3.394736,0.848684
Config_D,8,0.195563,3.351732,0.418966
Config_D,16,0.179446,3.652768,0.228298
Config_E,1,1.041112,1.000000,1.000000
Config_E,2,0.540946,1.924613,0.962306
Config_E,4,0.304985,3.413648,0.853412
Config_E,8,0.652888,1.594627,0.199328
Config_E,16,1.510035,0.689462,0.043091
