Config,NX,NY,Points,Maxiter,Threads,TotalTime,InterpTime,NormTime,MoverTime,DenormTime,Speedup,Efficiency,Voids
NX250_NY100_P900000,250,100,900000,10,1,0.240718,0.102096,0.000443,0.137970,0.000209,1.000000,1
NX250_NY100_P900000,250,100,900000,10,2,0.135176,0.061424,0.000342,0.073198,0.000212,1.780774,0.890387,1
NX250_NY100_P900000,250,100,900000,10,4,0.069590,0.030518,0.000279,0.038457,0.000336,3.459086,0.864771,1
NX250_NY100_P900000,250,100,900000,10,8,0.039661,0.018292,0.000225,0.020824,0.000320,6.069451,0.758681,1
NX250_NY100_P900000,250,100,900000,10,16,0.211657,0.064616,0.064390,0.051171,0.031480,1.137305,0.071082,1
NX250_NY100_P5000000,250,100,5000000,10,1,1.328582,0.562398,0.000457,0.765517,0.000211,1.000000,1
NX250_NY100_P5000000,250,100,5000000,10,2,0.712504,0.301847,0.000342,0.410098,0.000217,1.864666,0.932333,14
NX250_NY100_P5000000,250,100,5000000,10,4,0.376076,0.158349,0.000289,0.217070,0.000367,3.532745,0.883186,14
NX250_NY100_P5000000,250,100,5000000,10,8,0.214210,0.092884,0.000255,0.120649,0.000422,6.202244,0.775280,14
NX250_NY100_P5000000,250,100,5000000,10,16,0.382406,0.141138,0.062144,0.149288,0.029835,3.474274,0.217142,14
NX500_NY200_P3600000,500,200,3600000,10,1,1.239351,0.570034,0.001426,0.667360,0.000531,1.000000,1
NX500_NY200_P3600000,500,200,3600000,10,2,0.651427,0.299055,0.000844,0.351014,0.000514,1.902518,0.951259,1
NX500_NY200_P3600000,500,200,3600000,10,4,0.366463,0.164565,0.000533,0.200992,0.000373,3.381928,0.845482,1
NX500_NY200_P3600000,500,200,3600000,10,8,0.268469,0.121624,0.000440,0.145547,0.000858,4.616364,0.577046,1
NX500_NY200_P3600000,500,200,3600000,10,16,0.423697,0.161702,0.059741,0.173351,0.028902,2.925089,0.182818,1
NX500_NY200_P20000000,500,200,20000000,10,1,6.922297,3.185633,0.001418,3.734723,0.000523,1.000000,1
NX500_NY200_P20000000,500,200,20000000,10,2,3.599470,1.647464,0.000857,1.950652,0.000498,1.923143,0.961572,3
NX500_NY200_P20000000,500,200,20000000,10,4,2.371518,1.076099,0.000540,1.293816,0.001063,2.918931,0.729733,3
NX500_NY200_P20000000,500,200,20000000,10,8,1.474066,0.636566,0.000472,0.835934,0.001094,4.696055,0.587007,3
NX500_NY200_P20000000,500,200,20000000,10,16,1.293209,0.499361,0.056505,0.705287,0.032056,5.352805,0.334550,3
NX1000_NY400_P14000000,1000,400,14000000,10,1,5.244657,2.382284,0.005633,2.854847,0.001893,1.000000,1
NX1000_NY400_P14000000,1000,400,14000000,10,2,2.958027,1.405140,0.003005,1.546113,0.003770,1.773026,0.886513,0
NX1000_NY400_P14000000,1000,400,14000000,10,4,2.028496,0.845482,0.001614,1.177896,0.003504,2.585491,0.646373,0
NX1000_NY400_P14000000,1000,400,14000000,10,8,1.307248,0.709963,0.001130,0.592366,0.003790,4.011983,0.501498,0
NX1000_NY400_P14000000,1000,400,14000000,10,16,1.616652,1.005002,0.062859,0.515300,0.033490,3.244148,0.202759,0
