ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,0.381269048,0.381235491
16,33554432,536870912,0.311364161,0.311362831
32,16777216,536870912,0.295491468,0.295489769
64,8388608,536870912,0.289102690,0.289100059
128,4194304,536870912,0.273432052,0.273424702
256,2097152,536870912,0.336091447,0.336081740
512,1048576,536870912,0.331517594,0.331500444
1024,524288,536870912,0.331337983,0.331303602
2048,262144,536870912,0.439149636,0.439087184
4096,131072,536870912,0.418589442,0.418468083
8192,65536,536870912,0.423221854,0.422973777
16384,32768,536870912,0.414419194,0.413893520
32768,16384,536870912,0.440789057,0.439689387
65536,8192,536870912,0.437056783,0.434897156
131072,4096,536870912,0.433698551,0.429382009
262144,2048,536870912,0.444397072,0.436038913
524288,1024,536870912,0.452963061,0.437388973
1048576,512,536870912,0.806356390,0.776146846
2097152,256,536870912,0.930358000,0.868509869
4194304,128,536870912,1.001820111,0.880055810
8388608,64,536870912,1.137965556,0.889769457
16777216,32,536870912,1.379375179,0.889684935
33554432,16,536870912,1.879657869,0.899560813
67108864,8,536870912,2.893858052,0.896606300
134217728,4,536870912,4.867103470,0.894898053
268435456,2,536870912,8.600816504,0.863528941
536870912,1,536870912,16.390557496,0.888312853
