ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,0.310635616,0.310599318
16,33554432,536870912,0.248937928,0.248936973
32,16777216,536870912,0.203075839,0.203074419
64,8388608,536870912,0.283128215,0.283126186
128,4194304,536870912,0.223806544,0.223800270
256,2097152,536870912,0.199743741,0.199734189
512,1048576,536870912,0.194107991,0.194091603
1024,524288,536870912,0.188323649,0.188291539
2048,262144,536870912,0.190655521,0.190594040
4096,131072,536870912,0.223609560,0.223487744
8192,65536,536870912,0.227159548,0.226903080
16384,32768,536870912,0.261843361,0.261325687
32768,16384,536870912,0.321346361,0.320246648
65536,8192,536870912,0.327334493,0.325153621
131072,4096,536870912,0.329810530,0.325447700
262144,2048,536870912,0.333077777,0.324358443
524288,1024,536870912,0.346761049,0.330349546
1048576,512,536870912,0.521803819,0.488989876
2097152,256,536870912,0.744511310,0.681080526
4194304,128,536870912,0.803246277,0.676391247
8388608,64,536870912,0.933336284,0.680509307
16777216,32,536870912,1.175354798,0.676547717
33554432,16,536870912,1.671160456,0.672888044
67108864,8,536870912,2.654848165,0.666140926
134217728,4,536870912,4.666116579,0.692985806
268435456,2,536870912,8.605499598,0.665326996
536870912,1,536870912,16.511081598,0.675000235
