ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,0.403715432,0.403679900
16,33554432,536870912,0.311429446,0.311428608
32,16777216,536870912,0.297362916,0.297361697
64,8388608,536870912,0.282797996,0.282795952
128,4194304,536870912,0.253502593,0.253496640
256,2097152,536870912,0.238889410,0.238881133
512,1048576,536870912,0.232673139,0.232657748
1024,524288,536870912,0.229180696,0.229149744
2048,262144,536870912,0.230898326,0.230837357
4096,131072,536870912,0.263592781,0.263473487
8192,65536,536870912,0.261513649,0.261267431
16384,32768,536870912,0.283801362,0.283287576
32768,16384,536870912,0.338210564,0.337114150
65536,8192,536870912,0.339238773,0.337065594
131072,4096,536870912,0.340929000,0.336542884
262144,2048,536870912,0.345050111,0.336150840
524288,1024,536870912,0.352939928,0.336287308
1048576,512,536870912,0.495532528,0.463575138
2097152,256,536870912,0.725050126,0.661516065
4194304,128,536870912,0.792919121,0.666929989
8388608,64,536870912,0.914955648,0.664590075
16777216,32,536870912,1.162586165,0.663226584
33554432,16,536870912,1.664084933,0.664175670
67108864,8,536870912,2.657319458,0.662610956
134217728,4,536870912,4.657681924,0.663671735
268435456,2,536870912,8.642877292,0.663190265
536870912,1,536870912,16.616813679,0.664460654
